factors	triplet	singlet
9.998997995991984e-1	2.3862275369905717e2	1.7442352664980186e2
1.0001002004008015e0	2.419191738362563e2	1.7689537252933366e2
1.0003006012024047e0	2.4532671633249134e2	1.794502049625223e2
1.000501002004008e0	2.4885139644675263e2	1.8209283811338452e2
1.0007014028056112e0	2.524996639651956e2	1.8482846046755265e2
1.0009018036072144e0	2.5627845945427043e2	1.8766267247322054e2
1.0011022044088176e0	2.6019524545970756e2	1.906015279677171e2
1.0013026052104208e0	2.64258064557017e2	1.936515815890669e2
1.001503006012024e0	2.6847559574329273e2	1.9681994147517523e2
1.0017034068136272e0	2.728572181861397e2	2.00114329577071e2
1.0019038076152305e0	2.774130835426581e2	2.03543148404912e2
1.0021042084168337e0	2.821541973462124e2	2.071155592989718e2
1.002304609218437e0	2.8709251006148645e2	2.1084156791124377e2
1.00250501002004e0	2.9224102160038376e2	2.147321304948748e2
1.0027054108216433e0	2.976138987732766e2	2.1879925881550963e2
1.0029058116232465e0	3.0322661014331777e2	2.230561600081073e2
1.0031062124248498e0	3.090960727926279e2	2.2751738378683638e2
1.003306613226453e0	3.152408413954407e2	2.32199001833847e2
1.0035070140280562e0	3.216812931327624e2	2.3711880815295012e2
1.0037074148296594e0	3.2843986553025974e2	2.422965593104994e2
1.0039078156312626e0	3.355413331483634e2	2.4775425273458015e2
1.0041082164328659e0	3.430130917314578e2	2.5351645191228758e2
1.0043086172344688e0	3.5088555294113297e2	2.5961067428652643e2
1.004509018036072e0	3.5919253914142945e2	2.6606784676653393e2
1.0047094188376753e0	3.679717893890874e2	2.729228542226671e2
1.0049098196392785e0	3.772655431129852e2	2.8021518993359547e2
1.0051102204408817e0	3.8712122780944867e2	2.879897501165647e2
1.005310621242485e0	3.975922918986313e2	2.962977789552136e2
1.0055110220440882e0	4.087391570814213e2	3.0519804214946237e2
1.0057114228456914e0	4.20630445992357e2	3.1475825532539324e2
1.0059118236472946e0	4.333443866398938e2	3.25056858166353e2
1.0061122244488978e0	4.4697056318582503e2	3.361852136576351e2
1.006312625250501e0	4.6161205217455506e2	3.4825043563737324e2
1.0065130260521042e0	4.773880685447104e2	3.613788273768188e2
1.0067134268537075e0	4.9443724547083093e2	3.757204857598869e2
1.0069138276553107e0	5.12921760294572e2	3.914551755024673e2
1.007114228456914e0	5.330325508966121e2	4.0879997457462434e2
1.0073146292585171e0	5.549959924618597e2	4.280194905989579e2
1.0075150300601203e0	5.790825145604899e2	4.494396767540715e2
1.0077154308617235e0	6.056178661232359e2	4.734667644010005e2
1.0079158316633268e0	6.349980277220227e2	5.0061339353800537e2
1.0081162324649298e0	6.677092063177009e2	5.315360810644356e2
1.008316633266533e0	7.043551044220953e2	5.670894295898545e2
1.0085170340681362e0	7.456946761187419e2	6.08406952986062e2
1.0087174348697394e0	7.926954735696461e2	6.570249592184077e2
1.0089178356713426e0	8.466105976564918e2	7.150789327761067e2
1.0091182364729459e0	9.09092432067801e2	7.85627137488096e2
1.009318637274549e0	9.823654321676704e2	8.732095325279735e2
1.0095190380761523e0	1.0694971817008893e3	9.848686953786614e2
1.0097194388777555e0	1.174839626156097e3	1.1321498635156215e3
1.0099198396793587e0	1.3047798706442852e3	1.3353841214177635e3
1.010120240480962e0	1.4690873462206623e3	1.6340092269538954e3
1.0103206412825652e0	1.6834943296114775e3	2.115908871857679e3
1.0105210420841684e0	1.975064496296206e3	3.0247625590663815e3
1.0107214428857716e0	2.394638047033203e3	5.380112760627798e3
1.0109218436873748e0	3.0502680823540663e3	2.611237774903485e4
1.011122244488978e0	4.21930158461738e3	-8.910120082636953e3
1.0113226452905812e0	6.893156894190841e3	-3.761726732611373e3
1.0115230460921845e0	1.9227665734129147e4	-2.366069948209125e3
1.0117234468937877e0	-2.3690188378259812e4	-1.715897667104335e3
1.011923847695391e0	-7.266453820614059e3	-1.339750975783747e3
1.0121242484969941e0	-4.269092574728647e3	-1.0945028335342647e3
1.0123246492985971e0	-3.0110223044378376e3	-9.219216327378346e2
1.0125250501002003e0	-2.3187649098499887e3	-7.938553635583784e2
1.0127254509018035e0	-1.880654218177693e3	-6.950306660376657e2
1.0129258517034068e0	-1.5784218872744207e3	-6.164442878592007e2
1.01312625250501e0	-1.3573239983081019e3	-5.5244503613527e2
1.0133266533066132e0	-1.1885482344623883e3	-4.993064982505268e2
1.0135270541082164e0	-1.055474101016179e3	-4.5447120844260877e2
1.0137274549098196e0	-9.478500335367189e2	-4.1612804111332747e2
1.0139278557114229e0	-8.590057999184702e2	-3.829553459372607e2
1.014128256513026e0	-7.844149988114864e2	-3.539678551454345e2
1.0143286573146293e0	-7.208974524777311e2	-3.2841567287119483e2
1.0145290581162325e0	-6.66153595362351e2	-3.057179535517838e2
1.0147294589178357e0	-6.184795562557077e2	-2.854182167049193e2
1.014929859719439e0	-5.7658569843894e2	-2.6715128744501743e2
1.0151302605210422e0	-5.394780701804239e2	-2.5062312852831565e2
1.0153306613226454e0	-5.063782736990773e2	-2.3559456968092556e2
1.0155310621242486e0	-4.766680187647211e2	-2.218674194726644e2
1.0157314629258518e0	-4.49849970599529e2	-2.0927721491592303e2
1.015931863727455e0	-4.255195667338797e2	-1.9768608470256015e2
1.016132264529058e0	-4.033443213336013e2	-1.8697757393817798e2
1.0163326653306612e0	-3.83048463090334e2	-1.7705265426450092e2
1.0165330661322645e0	-3.6440136174169135e2	-1.6782654802635233e2
1.0167334669338677e0	-3.472086505139896e2	-1.5922628959195384e2
1.016933867735471e0	-3.313053206499296e2	-1.511887526655969e2
1.0171342685370741e0	-3.1655017764959524e2	-1.4365895485564926e2
1.0173346693386773e0	-3.0282264595255543e2	-1.3658892263876095e2
1.0175350701402806e0	-2.9001779019449475e2	-1.2993648900959073e2
1.0177354709418838e0	-2.7804465615028835e2	-1.2366447374577946e2
1.017935871743487e0	-2.668239153655134e2	-1.17740018708734e2
1.0181362725450902e0	-2.562859923302731e2	-1.121339224906122e2
1.0183366733466934e0	-2.4636981338545647e2	-1.068201577718879e2
1.0185370741482966e0	-2.3702069113431455e2	-1.0177545723120345e2
1.0187374749498999e0	-2.2819116105752636e2	-9.697895005977522e1
1.018937875751503e0	-2.1983828271891605e2	-9.241186637612458e1
1.0191382765531063e0	-2.119238396843255e2	-8.80572970310741e1
1.0193386773547095e0	-2.0441360519527282e2	-8.389991653036353e1
1.0195390781563127e0	-1.9727687380546254e2	-7.992586563948005e1
1.019739478957916e0	-1.9048591628389573e2	-7.612253453303123e1
1.0199398797595192e0	-1.840156980289809e2	-7.247844271683208e1
1.0201402805611224e0	-1.778435435413246e2	-6.898311222934083e1
1.0203406813627254e0	-1.7194886680195995e2	-6.56269625354902e1
1.0205410821643286e0	-1.6631292842483705e2	-6.24012121500931e1
1.0207414829659318e0	-1.6091864499640909e2	-5.929780321014305e1
1.020941883767535e0	-1.557504024908941e2	-5.630932334415301e1
1.0211422845691382e0	-1.50793900550787e2	-5.34289398581164e1
1.0213426853707415e0	-1.4603602115034224e2	-5.0650351668902836e1
1.0215430861723447e0	-1.4146470871730767e2	-4.796773370581273e1
1.021743486973948e0	-1.370688570803642e2	-4.537569120962015e1
1.0219438877755511e0	-1.3283823082084e2	-4.286922685888093e1
1.0221442885771543e0	-1.2876337088725634e2	-4.0443698017638155e1
1.0223446893787576e0	-1.2483552768029378e2	-3.809478954318982e1
1.0225450901803608e0	-1.2104659363090951e2	-3.581848320217242e1
1.022745490981964e0	-1.1738904575684859e2	-3.361103505273179e1
1.0229458917835672e0	-1.1385589058347617e2	-3.146893485288049e1
1.0231462925851704e0	-1.104406318075774e2	-2.938896020561567e1
1.0233466933867736e0	-1.0713720743786384e2	-2.7368014680497215e1
1.0235470941883769e0	-1.0393996551998357e2	-2.540323918102376e1
1.02374749498998e0	-1.0084363106685011e2	-2.349197274637449e1
1.0239478957915833e0	-9.784326763710429e1	-2.1631690145717204e1
1.0241482965931863e0	-9.49342592359898e1	-1.9820021670982722e1
1.0243486973947895e0	-9.211227821519613e1	-1.8054746244511932e1
1.0245490981963927e0	-8.937326781727845e1	-1.633376899040362e1
1.024749498997996e0	-8.671341350535016e1	-1.4655127659140636e1
1.0249498997995992e0	-8.412913376129326e1	-1.3016939776826081e1
1.0251503006012024e0	-8.161706359217398e1	-1.1417449176127704e1
1.0253507014028056e0	-7.917402918990291e1	-9.855018976846035e0
1.0255511022044088e0	-7.679703895280818e1	-8.32806917939621e0
1.025751503006012e0	-7.44832729365823e1	-6.835115031913413e0
1.0259519038076153e0	-7.223007005863539e1	-5.374750209741931e0
1.0261523046092185e0	-7.003491258257782e1	-3.9456442389579998e0
1.0263527054108217e0	-6.789542504460009e1	-2.546535614456613e0
1.026553106212425e0	-6.580935323876805e1	-1.176213903295816e0
1.0267535070140281e0	-6.3774567850987744e1	1.6645441325922625e-1
1.0269539078156313e0	-6.17890455584072e1	1.4825617683922379e0
1.0271543086172346e0	-5.985087150687475e1	2.773121520082296e0
1.0273547094188378e0	-5.795822628227245e1	4.039123436671744e0
1.027555110220441e0	-5.610938339992724e1	5.28150230883534e0
1.0277555110220442e0	-5.430277680528589e1	6.501149208596557e0
1.0279559118236472e0	-5.253669327210317e1	7.698913866361925e0
1.0281563126252506e0	-5.080972371039357e1	8.875607551530042e0
1.0283567134268536e0	-4.912045307477869e1	1.0032003977158617e1
1.0285571142284569e0	-4.7467535524893336e1	1.1168843569664473e1
1.02875751503006e0	-4.5849684469407634e1	1.2286835322106612e1
1.0289579158316633e0	-4.4265675831702275e1	1.338665337585286e1
1.0291583166332665e0	-4.271434067083803e1	1.4468949490499554e1
1.0293587174348697e0	-4.119456312577331e1	1.5534358302266599e1
1.029559118236473e0	-3.970527255203178e1	1.6583444533217143e1
1.0297595190380762e0	-3.8245451803706054e1	1.761679413898649e1
1.0299599198396794e0	-3.6814125314372376e1	1.8634941122914668e1
1.0301603206412826e0	-3.541035982780355e1	1.9638438240991327e1
